,AMOS Administration Training,AMOS Version Upgrade Training,Base Maintenance,Billing and Contract Management Basics,Component Maintenance - Advanced,Component Maintenance for Shop Mechanics,Configuration and Software Management,Data Structure,Data Transfer & AIM Training Basics,Engineering Order - EO,Engineering Part 2,Financial Management,IT Administration Advanced (PostgreSQL),IT Administrator,Key User Awareness Session,Line Maintenance,Maintenance Control Part 2,Maintenance Planning,Maintenance Programs - Multi Operators Part 2,Maintenance Programs - Single Operator Part 2,Material Management,Modification Control,MRO Production Planning & Control,MRO Quotation Management,Report Designer,Resource Management,Shift Planning,Shop Administration & Planning,Shortened Key User Awareness Session,Staff Administration,Store Management,Stores,Stores & Stores Management,Technical Records,Troubleshooting & Reliability,Warranty
1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,3.0,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,3.0,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
4.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
5.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
6.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
8.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
9.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,
11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
19.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
